               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028282,            0.027004,           0.0042573,             0.72108,              0.6822,             0.68433,             0.43139,            0.026771,            0.023213,           0.0042423,            0.006535,            0.006535,            0.006535
                  37,              0.0278,             0.02743,           0.0037608,             0.74562,             0.68238,             0.68936,             0.43768,            0.026119,            0.022685,           0.0041087,            0.006436,            0.006436,            0.006436
                  38,            0.028739,            0.027084,            0.003919,             0.75608,             0.66521,             0.70648,              0.4485,            0.026256,            0.023151,           0.0039017,            0.006337,            0.006337,            0.006337
                  39,            0.028264,            0.026719,           0.0035496,             0.78669,             0.72536,             0.72567,             0.46324,            0.026502,            0.022718,           0.0038678,            0.006238,            0.006238,            0.006238
                  40,            0.028092,            0.026271,           0.0035745,             0.76775,             0.72497,             0.71335,              0.4484,            0.026266,            0.022756,           0.0042628,            0.006139,            0.006139,            0.006139
                  41,            0.027279,            0.028671,           0.0032334,             0.84172,             0.68296,             0.72644,             0.47677,            0.026218,            0.023542,           0.0037826,             0.00604,             0.00604,             0.00604
                  42,             0.02767,            0.026788,           0.0035589,             0.82031,             0.69752,             0.72978,             0.45564,            0.026538,            0.023451,           0.0038982,            0.005941,            0.005941,            0.005941
                  43,            0.027229,            0.026852,           0.0031184,             0.82703,             0.64618,             0.71894,             0.45352,            0.026267,            0.023266,           0.0042094,            0.005842,            0.005842,            0.005842
                  44,            0.027154,             0.02543,           0.0030282,              0.7567,             0.68433,             0.72127,             0.45997,            0.026029,            0.022907,           0.0041266,            0.005743,            0.005743,            0.005743
                  45,            0.026969,            0.026163,           0.0030738,             0.92925,             0.66121,             0.73505,             0.46173,            0.026617,            0.023242,           0.0035298,            0.005644,            0.005644,            0.005644
                  46,              0.0264,            0.025452,           0.0028961,             0.85415,             0.67567,             0.72785,              0.4542,            0.026352,            0.023886,            0.004067,            0.005545,            0.005545,            0.005545
                  47,             0.02646,            0.026925,           0.0028819,             0.87018,             0.67918,             0.75231,             0.47558,            0.026998,            0.023935,           0.0035842,            0.005446,            0.005446,            0.005446
                  48,            0.026045,            0.025355,           0.0028096,             0.83068,             0.68774,             0.73576,             0.46972,            0.025932,            0.023412,           0.0040162,            0.005347,            0.005347,            0.005347
                  49,            0.026358,            0.026145,           0.0023956,              0.8247,             0.67654,             0.75268,             0.44165,            0.027013,            0.023499,           0.0033398,            0.005248,            0.005248,            0.005248
                  50,            0.025595,            0.024794,           0.0025146,             0.83763,             0.66348,             0.72348,             0.45836,            0.026034,            0.022895,           0.0036073,            0.005149,            0.005149,            0.005149
                  51,            0.025653,            0.025398,           0.0024426,             0.79427,             0.72042,             0.74636,             0.46798,             0.02588,            0.023089,           0.0044307,             0.00505,             0.00505,             0.00505
                  52,            0.025907,             0.02724,           0.0022826,             0.79993,             0.69016,              0.7483,              0.4814,            0.026076,            0.023236,            0.003495,            0.004951,            0.004951,            0.004951
                  53,            0.025251,             0.02534,           0.0021555,             0.79293,             0.69139,              0.7516,             0.48849,            0.025402,            0.022975,           0.0037192,            0.004852,            0.004852,            0.004852
                  54,            0.025172,            0.023648,           0.0021415,             0.85238,             0.68364,             0.76094,             0.47665,             0.02575,            0.023173,           0.0032776,            0.004753,            0.004753,            0.004753
                  55,            0.025243,            0.024041,             0.00221,             0.93757,             0.64455,             0.74128,             0.47442,            0.026178,            0.023229,           0.0032076,            0.004654,            0.004654,            0.004654
                  56,            0.024694,            0.024396,           0.0022362,             0.86875,             0.65919,             0.76004,             0.48183,            0.025643,            0.023285,           0.0035375,            0.004555,            0.004555,            0.004555
                  57,            0.024669,            0.024927,           0.0018309,             0.69036,             0.73558,             0.76345,             0.48313,            0.025305,            0.023382,           0.0034885,            0.004456,            0.004456,            0.004456
                  58,            0.024545,            0.024484,           0.0019219,             0.71931,             0.77074,              0.7566,               0.475,            0.025225,            0.023539,           0.0034556,            0.004357,            0.004357,            0.004357
                  59,            0.024625,            0.025513,           0.0018555,             0.73464,             0.72897,             0.74404,             0.47634,            0.025172,            0.023063,           0.0048969,            0.004258,            0.004258,            0.004258
                  60,            0.023833,            0.024571,           0.0018967,             0.70418,             0.74263,             0.74903,             0.48133,            0.024857,            0.023277,           0.0029784,            0.004159,            0.004159,            0.004159
                  61,            0.024028,            0.025796,           0.0017494,             0.77336,              0.7236,             0.75464,             0.48031,            0.025246,            0.023343,           0.0044718,             0.00406,             0.00406,             0.00406
                  62,             0.02381,            0.025285,           0.0017761,             0.75392,             0.68151,              0.7467,             0.47397,             0.02543,            0.023161,           0.0052153,            0.003961,            0.003961,            0.003961
                  63,             0.02369,            0.024695,           0.0018755,             0.78224,              0.7124,             0.73142,             0.47166,            0.024972,            0.023149,           0.0044675,            0.003862,            0.003862,            0.003862
                  64,            0.023261,            0.024494,           0.0017868,             0.71698,             0.72867,             0.74739,             0.47023,             0.02572,            0.023932,           0.0043988,            0.003763,            0.003763,            0.003763
                  65,             0.02306,            0.025113,           0.0015782,             0.74671,             0.70194,             0.75534,             0.48385,            0.024942,            0.023629,            0.003371,            0.003664,            0.003664,            0.003664
                  66,            0.023145,            0.024444,           0.0015052,             0.72389,             0.78174,             0.74371,             0.48039,             0.02503,            0.023645,           0.0044912,            0.003565,            0.003565,            0.003565
                  67,            0.022646,            0.024222,           0.0016146,             0.73103,             0.76437,             0.75261,             0.48172,            0.025281,            0.023536,           0.0045505,            0.003466,            0.003466,            0.003466
                  68,            0.022581,            0.023822,           0.0014901,             0.73671,             0.76557,             0.77157,             0.48153,            0.025278,            0.023998,           0.0026903,            0.003367,            0.003367,            0.003367
                  69,            0.022547,            0.023727,           0.0013647,             0.73209,             0.77638,             0.76619,             0.49078,            0.025052,             0.02369,           0.0035156,            0.003268,            0.003268,            0.003268
                  70,            0.022163,            0.023531,           0.0014034,             0.76012,             0.78161,             0.76965,             0.48698,            0.025423,            0.024009,           0.0031853,            0.003169,            0.003169,            0.003169
